minute,kwatt
463,0.2563
464,0.2506
465,0.2594
466,0.261
467,0.2607
468,0.2594
469,0.2539
470,0.2574
471,0.2603
472,0.2601
473,0.2604
474,0.2598
475,0.2579
476,0.2603
477,0.2405
478,0.26
479,0.26
480,0.2531
481,0.2598
482,0.2604
483,0.2606
484,0.2598
485,0.2597
486,0.2616
487,0.2582
488,0.2599
489,0.2599
490,0.2658
491,0.2814
492,0.2767
493,0.269
494,0.2831
495,0.2851
496,0.3276
497,0.363
498,0.3513
499,0.3647
500,0.3532
501,0.3593
502,0.3582
503,0.301
504,0.2685
505,0.2715
506,0.3411
507,0.4191
508,0.416
509,0.4142
510,0.4104
511,0.4094
512,0.4092
513,0.4063
514,0.4039
515,0.4052
516,0.4042
517,0.3871
518,0.4011
519,0.4034
520,0.3973
521,0.4022
522,0.4027
523,0.4035
524,0.4132
525,0.3753
526,0.3081
527,0.3236
528,0.3086
529,0.3008
530,0.3013
531,0.3006
532,0.2993
533,0.2989
534,0.2975
535,0.2971
536,0.2965
537,0.3027
538,0.2945
539,0.2926
540,0.2885
541,0.286
542,0.2858
543,0.2617
544,0.1619
545,0.1614
546,0.1615
547,0.1613
548,0.1612
549,0.1608
550,0.1637
551,0.1843
552,0.1789
553,0.1583
554,0.1974
555,0.2142
556,1.0554
557,1.5485
558,0.9892
559,0.2268
560,0.2739
561,0.1999
562,0.1825
563,0.201
564,0.1954
565,0.195
566,0.1944
567,0.1936
568,0.1927
569,0.1926
570,0.1926
571,0.1927
572,0.1922
573,0.1927
574,0.1924
575,0.1926
576,0.1927
577,0.1929
578,0.1926
579,0.1929
580,0.1928
581,0.1931
582,0.193
583,0.1927
584,0.1923
585,0.1922
586,0.1924
587,0.1921
588,0.1918
589,0.192
590,0.1926
591,0.1926
592,0.193
593,0.1928
594,0.1933
595,0.1928
596,0.1928
597,0.1968
598,0.1941
599,0.1931
600,0.1936
601,0.1939
602,0.1941
603,0.1937
604,0.1945
605,0.1932
606,0.1935
607,0.1927
608,0.1935
609,0.1937
610,0.1933
611,0.1931
612,0.1935
613,0.1932
614,0.1923
615,0.1923
616,0.1928
617,0.193
618,0.1923
619,0.1931
620,0.1924
621,0.1929
622,0.1923
623,0.1923
624,0.1926
625,0.1927
626,0.1926
627,0.1924
628,0.1918
629,0.2083
630,0.3217
631,0.4617
632,0.52
633,0.5138
634,0.5101
635,0.5071
636,0.4443
637,0.3455
638,0.3179
639,0.3089
640,0.3022
641,0.3017
642,0.3008
643,0.3004
644,0.2997
645,0.3001
646,0.2991
647,0.2989
648,0.2987
649,0.2982
650,0.2982
651,0.2979
652,0.321
653,0.321
654,0.3106
655,0.3106
656,0.3104
657,0.3049
658,0.3576
659,0.4126
660,0.4322
661,0.413
662,0.4081
663,0.3994
664,0.4236
665,0.4104
666,0.3921
667,0.3806
668,0.3931
669,0.2864
670,0.2598
671,0.2465
672,0.2565
673,0.26
674,0.2657
675,0.2503
676,0.2564
677,0.2747
678,0.2857
679,0.2809
680,0.292
681,0.3209
682,0.3378
683,0.3477
684,0.3537
685,0.3569
686,0.354
687,0.3546
688,0.3595
689,0.3592
690,0.362
691,0.333
692,0.3263
693,0.3308
694,0.3436
695,0.352
696,0.349
697,0.347
698,0.3441
699,0.3414
700,0.3451
701,0.3475
702,0.3465
703,0.3363
704,0.3375
705,0.3293
706,0.3112
707,0.3363
708,0.3487
709,0.3581
710,0.3482
711,0.3512
712,0.3456
713,0.3402
714,0.3465
715,0.343
716,0.3344
717,0.3431
718,0.3489
719,0.3495
720,0.3448
721,0.3485
722,0.3485
723,0.3426
724,0.3468
725,0.346
726,0.3481
727,0.3475
728,0.3413
729,0.3454
730,0.3435
731,0.3483
732,0.3435
733,0.3446
734,0.345
735,0.3445
736,0.3413
737,0.3441
738,0.346
739,0.3489
740,0.349
741,0.3462
742,0.3472
743,0.3463
744,0.3449
745,0.3468
746,0.345
747,0.3466
748,0.3337
749,0.3475
750,0.35
751,0.3282
752,0.319
753,0.3162
754,0.3429
755,0.3418
756,0.3442
757,0.3528
758,0.3523
759,0.3486
760,0.3465
761,0.3461
762,0.3414
763,0.339
764,0.3307
765,0.508
766,0.4926
767,0.4887
768,0.4763
769,0.4856
770,0.4813
771,0.4842
772,0.4828
773,0.4831
774,0.481
775,0.4798
776,0.4725
777,0.4815
778,0.4717
779,0.4749
780,0.4712
781,0.4712
782,0.4709
783,0.4766
784,0.4798
785,0.4784
786,0.4425
787,0.4623
788,0.4327
789,0.4589
790,0.4794
791,0.4467
792,0.3737
793,0.3299
794,0.3293
795,0.3279
796,0.3258
797,0.3247
798,0.3335
799,0.339
800,0.337
801,0.3363
802,0.3355
803,0.2595
804,0.1714
805,0.1707
806,0.1713
807,0.1714
808,0.1712
809,0.1708
810,0.1701
811,0.1714
812,0.171
813,0.1704
814,0.1698
815,0.1683
816,0.1676
817,0.1675
818,0.1683
819,0.169
820,0.1687
821,0.1686
822,0.1695
823,0.1684
824,0.1669
825,0.1659
826,0.165
827,0.1637
828,0.1627
829,0.1623
830,0.1624
831,0.1621
832,0.1629
833,0.1623
834,0.1623
835,0.1622
836,0.1627
837,0.1611
838,0.1612
839,0.1607
840,0.1609
841,0.1606
842,0.1602
843,0.1601
844,0.1598
845,0.1596
846,0.1596
847,0.1595
848,0.1596
849,0.1592
850,0.1594
851,0.159
852,0.1588
853,0.1587
854,0.1585
855,0.1581
856,0.1583
857,0.1586
858,0.158
859,0.1584
860,0.1575
861,0.1573
862,0.1569
863,0.1565
864,0.1562
865,0.1562
866,0.1558
867,0.1558
868,0.1558
869,0.1555
870,0.1552
871,0.1558
872,0.1549
873,0.1551
874,0.1555
875,0.1554
876,0.1553
877,0.1551
878,0.1548
879,0.1545
880,0.1538
881,0.1539
882,0.1539
883,0.1541
884,0.1538
885,0.1541
886,0.1537
887,0.1536
888,0.154
889,0.1541
890,0.1534
891,0.154
892,0.1538
893,0.1539
894,0.154
895,0.2716
896,0.3029
897,0.2989
898,0.2967
899,0.2946
900,0.2972
901,0.2934
902,0.2922
903,0.2909
904,0.2906
905,0.2896
906,0.2899
907,0.2889
908,0.2886
909,0.2879
910,0.288
911,0.2873
912,0.2871
913,0.2867
914,0.2862
915,0.2861
916,0.2847
917,0.2849
918,0.2839
919,0.2842
920,0.2831
921,0.2811
922,0.2801
923,0.2694
924,0.2641
925,0.266
926,0.2661
927,0.2652
928,0.2647
929,0.2645
930,0.2653
931,0.1948
932,0.1444
933,0.1446
934,0.1442
935,0.1443
936,0.1439
937,0.145
938,0.1443
939,0.1447
940,0.1481
941,0.1484
942,0.1482
943,0.148
944,0.1482
945,0.1478
946,0.1473
947,0.1471
948,0.1472
949,0.1473
950,0.1467
951,0.147
952,0.147
953,0.1469
954,0.1472
955,0.1463
956,0.1467
957,0.1467
958,0.1465
959,0.1466
960,0.1438
961,0.1437
962,0.1457
963,0.1466
964,0.146
965,0.1437
966,0.1436
967,0.1461
968,0.1523
969,0.172
970,0.1539
971,0.1462
972,0.146
973,0.1456
974,0.1463
975,0.1467
976,0.1465
977,0.1465
978,0.1456
979,0.1457
980,0.1455
981,0.1455
982,0.146
983,0.1453
984,0.1458
985,0.1457
986,0.1456
987,0.1452
988,0.1456
989,0.1456
990,0.145
991,0.1453
992,0.1456
993,0.1453
994,0.1453
995,0.1452
996,0.1457
997,0.1455
998,0.1453
999,0.1454
1000,0.1454
1001,0.1455
1002,0.1452
1003,0.1422
1004,0.1449
1005,0.1457
1006,0.1459
1007,0.1462
1008,0.146
1009,0.1457
1010,0.1463
1011,0.1458
1012,0.1463
1013,0.1465
1014,0.1463
1015,0.1457
1016,0.1459
1017,0.1453
1018,0.1454
1019,0.1454
1020,0.1452
1021,0.1449
1022,0.1456
1023,0.1452
1024,0.1449
1025,0.1452
1026,0.1455
1027,0.2977
1028,0.2877
1029,0.2839
1030,0.2816
1031,0.2799
1032,0.2785
1033,0.2784
1034,0.2772
1035,0.2769
1036,0.2761
1037,0.276
1038,0.2748
1039,0.2745
1040,0.2746
1041,0.2741
1042,0.2733
1043,0.2733
1044,0.2734
1045,0.2729
1046,0.2728
1047,0.2721
1048,0.2719
1049,0.2716
1050,0.2702
1051,0.2688
1052,0.2682
1053,0.2671
1054,0.2665
1055,0.2658
1056,0.2652
1057,0.2652
1058,0.2643
1059,0.2643
1060,0.2638
1061,0.2633
1062,0.2627
1063,0.1724
1064,0.1441
1065,0.1445
1066,0.1441
1067,0.1444
1068,0.1443
1069,0.1439
1070,0.1442
1071,0.1444
1072,0.1443
1073,0.1446
1074,0.1459
1075,0.145
1076,0.1445
1077,0.1444
1078,0.1442
1079,0.1443
1080,0.1443
1081,0.1439
1082,0.1444
1083,0.1456
1084,0.1451
1085,0.1457
1086,0.146
1087,0.1454
1088,0.1456
1089,0.1449
1090,0.1453
1091,0.1448
1092,0.1452
1093,0.145
1094,0.1459
1095,0.1491
